region_id,region_name,parent_region_id,parent_region_name,depth,is_leaf,child_count,shortname,species,rgb
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS1_IFS_RIGHT,Area IFS1 (IFS) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS1_IFS,Area IFS1 (IFS),6,True,0,,Homo sapiens,"(111, 47, 159)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS1_IFS_LEFT,Area IFS1 (IFS) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS1_IFS,Area IFS1 (IFS),6,True,0,,Homo sapiens,"(111, 47, 159)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFJ2_IFS_PRECS,"Area IFJ2 (IFS, PreCS)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_INFERIOR_FRONTAL_SULCUS,inferior frontal sulcus,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFJ2_IFS_PRECS_RIGHT,"Area IFJ2 (IFS, PreCS) right",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFJ2_IFS_PRECS,"Area IFJ2 (IFS, PreCS)",6,True,0,,Homo sapiens,"(223, 106, 21)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFJ2_IFS_PRECS_LEFT,"Area IFJ2 (IFS, PreCS) left",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFJ2_IFS_PRECS,"Area IFJ2 (IFS, PreCS)",6,True,0,,Homo sapiens,"(223, 106, 21)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS3_IFS,Area IFS3 (IFS),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_INFERIOR_FRONTAL_SULCUS,inferior frontal sulcus,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS3_IFS_RIGHT,Area IFS3 (IFS) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS3_IFS,Area IFS3 (IFS),6,True,0,,Homo sapiens,"(2, 128, 49)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS3_IFS_LEFT,Area IFS3 (IFS) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS3_IFS,Area IFS3 (IFS),6,True,0,,Homo sapiens,"(2, 128, 49)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFJ1_IFS_PRECS,"Area IFJ1 (IFS, PreCS)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_INFERIOR_FRONTAL_SULCUS,inferior frontal sulcus,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFJ1_IFS_PRECS_RIGHT,"Area IFJ1 (IFS, PreCS) right",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFJ1_IFS_PRECS,"Area IFJ1 (IFS, PreCS)",6,True,0,,Homo sapiens,"(228, 0, 159)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFJ1_IFS_PRECS_LEFT,"Area IFJ1 (IFS, PreCS) left",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFJ1_IFS_PRECS,"Area IFJ1 (IFS, PreCS)",6,True,0,,Homo sapiens,"(228, 0, 159)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTO_MARGINAL_SULCUS,fronto-marginal sulcus,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_LOBE,frontal lobe,4,False,1,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_MFG2_MFG,Area MFG2 (MFG),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTO_MARGINAL_SULCUS,fronto-marginal sulcus,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_MFG2_MFG_RIGHT,Area MFG2 (MFG) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_MFG2_MFG,Area MFG2 (MFG),6,True,0,,Homo sapiens,"(255, 235, 0)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_MFG2_MFG_LEFT,Area MFG2 (MFG) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_MFG2_MFG,Area MFG2 (MFG),6,True,0,,Homo sapiens,"(255, 235, 0)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_INFERIOR_FRONTAL_GYRUS,inferior frontal gyrus,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_LOBE,frontal lobe,4,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_44_IFG,Area 44 (IFG),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_INFERIOR_FRONTAL_GYRUS,inferior frontal gyrus,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_44_IFG_RIGHT,Area 44 (IFG) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_44_IFG,Area 44 (IFG),6,True,0,,Homo sapiens,"(54, 73, 74)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_44_IFG_LEFT,Area 44 (IFG) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_44_IFG,Area 44 (IFG),6,True,0,,Homo sapiens,"(54, 73, 74)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_45_IFG,Area 45 (IFG),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_INFERIOR_FRONTAL_GYRUS,inferior frontal gyrus,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_45_IFG_RIGHT,Area 45 (IFG) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_45_IFG,Area 45 (IFG),6,True,0,,Homo sapiens,"(167, 103, 146)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_45_IFG_LEFT,Area 45 (IFG) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_45_IFG,Area 45 (IFG),6,True,0,,Homo sapiens,"(167, 103, 146)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MIDDLE_FRONTAL_GYRUS,middle frontal gyrus,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_LOBE,frontal lobe,4,False,4,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V2_MFG,Area 8v2 (MFG),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MIDDLE_FRONTAL_GYRUS,middle frontal gyrus,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V2_MFG_RIGHT,Area 8v2 (MFG) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V2_MFG,Area 8v2 (MFG),6,True,0,,Homo sapiens,"(228, 172, 15)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V2_MFG_LEFT,Area 8v2 (MFG) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V2_MFG,Area 8v2 (MFG),6,True,0,,Homo sapiens,"(228, 172, 15)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V1_MFG,Area 8v1 (MFG),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MIDDLE_FRONTAL_GYRUS,middle frontal gyrus,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V1_MFG_RIGHT,Area 8v1 (MFG) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V1_MFG,Area 8v1 (MFG),6,True,0,,Homo sapiens,"(123, 49, 95)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V1_MFG_LEFT,Area 8v1 (MFG) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V1_MFG,Area 8v1 (MFG),6,True,0,,Homo sapiens,"(123, 49, 95)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_MFG4_MFG,Area MFG4 (MFG),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MIDDLE_FRONTAL_GYRUS,middle frontal gyrus,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_MFG4_MFG_RIGHT,Area MFG4 (MFG) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_MFG4_MFG,Area MFG4 (MFG),6,True,0,,Homo sapiens,"(128, 120, 0)"
