source_region_id,source_region_name,parent_region_id,parent_region_name,hemisphere,biological_base_name,granularity_level,species_taxon_id,canonical_candidate,circuit_discovery_eligible,normalized_name_en,normalized_name_zh,name_en_status,name_zh_status,identity_note
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_APIR_AMYGDALA_LEFT,SF.APir (Amygdala) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA_LEFT,SF (Amygdala) left,left,SF.APir (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,SF.APir (Amygdala) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_VCO_AMYGDALA_LEFT,SF.VCo (Amygdala) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA_LEFT,SF (Amygdala) left,left,SF.VCo (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,SF.VCo (Amygdala) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ASTR_AMYGDALA_RIGHT,Astr (Amygdala) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ASTR_AMYGDALA,Astr (Amygdala),right,Astr (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,Astr (Amygdala) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ASTR_AMYGDALA_LEFT,Astr (Amygdala) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ASTR_AMYGDALA,Astr (Amygdala),left,Astr (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,Astr (Amygdala) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VTM_AMYGDALA_RIGHT,VTM (Amygdala) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VTM_AMYGDALA,VTM (Amygdala),right,VTM (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,VTM (Amygdala) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VTM_AMYGDALA_LEFT,VTM (Amygdala) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VTM_AMYGDALA,VTM (Amygdala),left,VTM (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,VTM (Amygdala) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_ICE_AMYGDALA_RIGHT,IF.ice (Amygdala) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_AMYGDALA_RIGHT,IF (Amygdala) right,right,IF.ice (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,IF.ice (Amygdala) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_IOL_AMYGDALA_RIGHT,IF.iol (Amygdala) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_AMYGDALA_RIGHT,IF (Amygdala) right,right,IF.iol (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,IF.iol (Amygdala) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_LD_AMYGDALA_RIGHT,IF.ld (Amygdala) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_AMYGDALA_RIGHT,IF (Amygdala) right,right,IF.ld (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,IF.ld (Amygdala) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_ICE_AMYGDALA_LEFT,IF.ice (Amygdala) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_AMYGDALA_LEFT,IF (Amygdala) left,left,IF.ice (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,IF.ice (Amygdala) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_IOL_AMYGDALA_LEFT,IF.iol (Amygdala) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_AMYGDALA_LEFT,IF (Amygdala) left,left,IF.iol (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,IF.iol (Amygdala) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_LD_AMYGDALA_LEFT,IF.ld (Amygdala) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_AMYGDALA_LEFT,IF (Amygdala) left,left,IF.ld (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,IF.ld (Amygdala) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_ICM_AMYGDALA_RIGHT,MF.icm (Amygdala) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_AMYGDALA_RIGHT,MF (Amygdala) right,right,MF.icm (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,MF.icm (Amygdala) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_LM_AMYGDALA_RIGHT,MF.lm (Amygdala) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_AMYGDALA_RIGHT,MF (Amygdala) right,right,MF.lm (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,MF.lm (Amygdala) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_ICM_AMYGDALA_LEFT,MF.icm (Amygdala) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_AMYGDALA_LEFT,MF (Amygdala) left,left,MF.icm (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,MF.icm (Amygdala) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
