relation_id,fine_region_id,fine_name,granularity,atlas,hemisphere,historical_status,proposed_g1_id,proposed_g1_name,proposed_containment,proposed_rank,proposed_dice,best_g1_id,best_containment,second_best_g1_id,second_best_containment,best_non_proposed_g1_id,best_non_proposed_score,margin_vs_best_competitor,fine_voxels,outside_union_voxels,outside_union_fraction,v3_historical,flags,left_fraction,right_fraction,correct_side_fraction,contralateral_fraction
NGIQ-BR-00000099,NGIQ-BR-00000099,MTG_L_4_4,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000281,Left Middle Temporal Gyrus,0.26089,1,0.23386,NGIQ-BR-00000281,0.26089,NGIQ-BR-00000296,0.03374,NGIQ-BR-00000296,0.03374,0.22716,7114,5018,0.70537,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000101,NGIQ-BR-00000101,ITG_L_7_1,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,0.35656,1,0.16438,NGIQ-BR-00000275,0.35656,NGIQ-BR-00000273,0.00367,NGIQ-BR-00000273,0.00367,0.35289,2454,1570,0.63977,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000103,NGIQ-BR-00000103,ITG_L_7_2,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,0.29787,1,0.14681,NGIQ-BR-00000275,0.29787,NGIQ-BR-00000277,0.00187,NGIQ-BR-00000277,0.00187,0.29601,2679,1875,0.69989,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000105,NGIQ-BR-00000105,ITG_L_7_3,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,0.31859,1,0.22143,NGIQ-BR-00000275,0.31859,NGIQ-BR-00000281,0.02911,NGIQ-BR-00000281,0.02911,0.28948,4363,2841,0.65116,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000107,NGIQ-BR-00000107,ITG_L_7_4,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,0.15651,1,0.09727,NGIQ-BR-00000275,0.15651,NGIQ-BR-00000281,0.14622,NGIQ-BR-00000281,0.14622,0.01029,3693,2575,0.69727,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000109,NGIQ-BR-00000109,ITG_L_7_5,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,0.19472,1,0.11711,NGIQ-BR-00000275,0.19472,NGIQ-BR-00000281,0.08175,NGIQ-BR-00000281,0.08175,0.11297,3523,2526,0.717,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000111,NGIQ-BR-00000111,ITG_L_7_6,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,0.24207,1,0.16635,NGIQ-BR-00000275,0.24207,NGIQ-BR-00000281,0.0688,NGIQ-BR-00000281,0.0688,0.17327,4288,2955,0.68913,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000113,NGIQ-BR-00000113,ITG_L_7_7,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,0.42522,1,0.30209,NGIQ-BR-00000275,0.42522,NGIQ-BR-00000281,0.00089,NGIQ-BR-00000281,0.00089,0.42433,4513,2590,0.5739,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000115,NGIQ-BR-00000115,FuG_L_3_1,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000273,Left Fusiform Gyrus,0.32217,1,0.33871,NGIQ-BR-00000273,0.32217,NGIQ-BR-00000272,0.03222,NGIQ-BR-00000272,0.03222,0.28995,8567,5391,0.62928,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000117,NGIQ-BR-00000117,FuG_L_3_2,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000273,Left Fusiform Gyrus,0.33485,1,0.32462,NGIQ-BR-00000273,0.33485,NGIQ-BR-00000279,0.00564,NGIQ-BR-00000279,0.00564,0.32921,7272,4777,0.6569,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
