fine_region_id,hemisphere,gm_mass,raw_proposed_containment,gm_weighted_proposed_containment,raw_proposed_rank,gm_weighted_rank,raw_best_competitor,gm_best_non_proposed_id,gm_best_non_proposed_score,gm_margin,gm_inside_full_dk_fraction,gm_outside_full_dk_fraction
NGIQ-BR-00000096,right,5148.41,0.32285,0.40997,1,1,NGIQ-BR-00000327,NGIQ-BR-00000327,0.06333,0.34665,0.40805,0.59195
NGIQ-BR-00000098,right,4367.36,0.27221,0.30713,1,1,NGIQ-BR-00000306,NGIQ-BR-00000306,0.00578,0.30135,0.29841,0.70159
NGIQ-BR-00000100,right,7276.5,0.28031,0.31217,1,1,NGIQ-BR-00000327,NGIQ-BR-00000327,0.11206,0.20011,0.38544,0.61456
NGIQ-BR-00000102,right,1036.63,0.41509,0.51912,1,1,NGIQ-BR-00000304,NGIQ-BR-00000304,0.0205,0.49862,0.4297,0.5703
NGIQ-BR-00000104,right,1203.23,0.30765,0.36331,1,1,NGIQ-BR-00000304,NGIQ-BR-00000304,0.00144,0.36187,0.30871,0.69129
NGIQ-BR-00000106,right,2015.61,0.32749,0.41879,1,1,NGIQ-BR-00000304,NGIQ-BR-00000304,0.03086,0.38793,0.35365,0.64635
NGIQ-BR-00000108,right,2409.68,0.29469,0.35195,1,1,NGIQ-BR-00000312,NGIQ-BR-00000312,0.06925,0.2827,0.34516,0.65484
NGIQ-BR-00000110,right,1716.72,0.26428,0.3006,1,1,NGIQ-BR-00000312,NGIQ-BR-00000312,0.00212,0.29848,0.26841,0.73159
NGIQ-BR-00000112,right,2296.71,0.2022,0.22715,1,1,NGIQ-BR-00000312,NGIQ-BR-00000312,0.07759,0.14955,0.2695,0.7305
NGIQ-BR-00000114,right,2987.71,0.43848,0.49206,1,1,NGIQ-BR-00000304,NGIQ-BR-00000304,0.00122,0.49084,0.43934,0.56066
NGIQ-BR-00000116,right,5586.16,0.2942,0.37645,1,1,NGIQ-BR-00000303,NGIQ-BR-00000303,0.02611,0.35034,0.33303,0.66697
NGIQ-BR-00000118,right,4175.89,0.33738,0.391,1,1,NGIQ-BR-00000308,NGIQ-BR-00000308,0.00377,0.38724,0.34154,0.65846
NGIQ-BR-00000120,right,4512.59,0.30636,0.35171,1,1,NGIQ-BR-00000306,NGIQ-BR-00000306,0.05826,0.29345,0.35745,0.64255
NGIQ-BR-00000122,right,910.63,0.34937,0.40389,1,1,NGIQ-BR-00000313,NGIQ-BR-00000313,0.05773,0.34616,0.41603,0.58397
NGIQ-BR-00000124,right,1078.1,0.46728,0.50904,1,1,NGIQ-BR-00000304,NGIQ-BR-00000304,0.0152,0.49384,0.48628,0.51372
NGIQ-BR-00000126,right,1011.08,0.35086,0.33943,1,1,NGIQ-BR-00000304,NGIQ-BR-00000304,0.11371,0.22572,0.45029,0.54971
NGIQ-BR-00000128,right,755.19,0.30118,0.41885,1,1,NGIQ-BR-00000313,NGIQ-BR-00000313,0.18376,0.23509,0.44755,0.55245
NGIQ-BR-00000130,right,686.83,0.55491,0.67612,1,1,NGIQ-BR-00000300,NGIQ-BR-00000300,0.0,0.67612,0.55491,0.44509
NGIQ-BR-00000132,right,941.25,0.3792,0.43841,1,1,NGIQ-BR-00000304,NGIQ-BR-00000304,0.00403,0.43438,0.38456,0.61544
NGIQ-BR-00000138,right,1924.3,0.28034,0.29844,1,1,NGIQ-BR-00000322,NGIQ-BR-00000322,0.01075,0.28769,0.28898,0.71102
NGIQ-BR-00000140,right,1747.33,0.27531,0.28496,1,1,NGIQ-BR-00000305,NGIQ-BR-00000305,0.00361,0.28135,0.28089,0.71911
NGIQ-BR-00000142,right,1797.04,0.2696,0.32135,1,1,NGIQ-BR-00000319,NGIQ-BR-00000319,0.00738,0.31397,0.2776,0.7224
NGIQ-BR-00000144,right,1811.29,0.13706,0.13796,1,1,NGIQ-BR-00000305,NGIQ-BR-00000305,0.02272,0.11524,0.16588,0.83412
NGIQ-BR-00000146,right,4249.99,0.30581,0.32614,1,1,NGIQ-BR-00000326,NGIQ-BR-00000326,0.00077,0.32537,0.30659,0.69341
NGIQ-BR-00000148,right,5709.51,0.22535,0.23557,1,1,NGIQ-BR-00000305,NGIQ-BR-00000305,0.02533,0.21024,0.26208,0.73792
NGIQ-BR-00000150,right,6185.0,0.23628,0.27368,1,1,NGIQ-BR-00000305,NGIQ-BR-00000305,0.07544,0.19824,0.31782,0.68218
NGIQ-BR-00000152,right,7593.42,0.21811,0.21364,1,1,NGIQ-BR-00000328,NGIQ-BR-00000328,0.00309,0.21055,0.23001,0.76999
NGIQ-BR-00000154,right,7022.4,0.31292,0.30173,1,1,NGIQ-BR-00000327,NGIQ-BR-00000327,0.00603,0.2957,0.32524,0.67476
