geometry_id,canonical_region_id,name,hemisphere,dk_label,fs_label_id,source_geometry_id,voxel_count,volume_mm3,centroid_ras,bbox_ras,connected_components,largest_component_fraction,single_voxel_islands,correct_side_fraction,contralateral_fraction,source_target_volume_ratio,fov_clip_fraction,boundary_touching,geometry_sha256
GEO-G1-CORT-NGIQ-BR-00000314-MNI2009CASYM-V1,NGIQ-BR-00000314,Right Paracentral Lobule,right,paracentral,2017,GEO-G1-CORT-NGIQ-BR-00000314-FSAVG-V1,4622,4622.0,"[8.63, -25.14, 59.38]","[[1.0, -44.0, 36.0], [20.0, -7.0, 80.0]]",4,0.999351,3,0.0,1.0,1.29941,0.0,False,1c1b76f184c3fc3999586606960eaf9175af84c3ec71a96c2a48fba46bd8485a
GEO-G1-CORT-NGIQ-BR-00000315-MNI2009CASYM-V1,NGIQ-BR-00000315,"Right Inferior Frontal Gyrus, Pars Opercularis",right,parsopercularis,2018,GEO-G1-CORT-NGIQ-BR-00000315-FSAVG-V1,4014,4014.0,"[48.63, 17.56, 13.2]","[[30.0, 5.0, -4.0], [61.0, 31.0, 26.0]]",4,0.999253,3,0.0,1.0,1.39472,0.0,False,d133168f303b420466a285b91c09131bb2de860b610a10981485467bd4b58d07
GEO-G1-CORT-NGIQ-BR-00000316-MNI2009CASYM-V1,NGIQ-BR-00000316,"Right Inferior Frontal Gyrus, Pars Orbitalis",right,parsorbitalis,2019,GEO-G1-CORT-NGIQ-BR-00000316-FSAVG-V1,2015,2015.0,"[42.8, 44.98, -12.77]","[[30.0, 25.0, -19.0], [53.0, 59.0, -4.0]]",1,1.0,0,0.0,1.0,1.1257,0.0,False,cdb9d75f01f41634fa0b5607b183057cefae7db0a6f7801e06c3ae8db27b06a7
GEO-G1-CORT-NGIQ-BR-00000317-MNI2009CASYM-V1,NGIQ-BR-00000317,"Right Inferior Frontal Gyrus, Pars Triangularis",right,parstriangularis,2020,GEO-G1-CORT-NGIQ-BR-00000317-FSAVG-V1,2956,2956.0,"[47.66, 33.63, 4.29]","[[28.0, 23.0, -11.0], [59.0, 45.0, 20.0]]",2,0.999662,1,0.0,1.0,1.29592,0.0,False,e25c5ade0bd07b9b9a3a66b6e0e2ab303ac9426fea6626b64a62aa11818da836
GEO-G1-CORT-NGIQ-BR-00000318-MNI2009CASYM-V1,NGIQ-BR-00000318,Right Pericalcarine Cortex,right,pericalcarine,2021,GEO-G1-CORT-NGIQ-BR-00000318-FSAVG-V1,2128,2128.0,"[13.27, -79.36, 8.53]","[[3.0, -101.0, -7.0], [28.0, -61.0, 17.0]]",11,0.993421,6,0.0,1.0,1.20909,0.0,False,7217d2b2d644a5cc89a075b5e28db3e48b2e1eeb644d57ae38c5a0e585430cc2
GEO-G1-CORT-NGIQ-BR-00000319-MNI2009CASYM-V1,NGIQ-BR-00000319,Right Postcentral Gyrus,right,postcentral,2022,GEO-G1-CORT-NGIQ-BR-00000319-FSAVG-V1,9193,9193.0,"[45.76, -18.88, 44.15]","[[2.0, -43.0, 6.0], [69.0, 1.0, 83.0]]",8,0.998368,4,0.0,1.0,1.21152,0.0,False,c4cd0b2c09fbd18fbc23ab5d94b28c63017d55e0a9176c72b491b42b679da749
GEO-G1-CORT-NGIQ-BR-00000320-MNI2009CASYM-V1,NGIQ-BR-00000320,Right Posterior Cingulate Cortex,right,posteriorcingulate,2023,GEO-G1-CORT-NGIQ-BR-00000320-FSAVG-V1,4325,4325.0,"[7.71, -16.31, 37.05]","[[1.0, -37.0, 25.0], [18.0, 8.0, 45.0]]",8,0.997688,4,0.0,1.0,1.37871,0.0,False,fd23b99d3bc6b625fc0c298a4e79fe384b467fb28fd7a7a4971398bd16faae57
GEO-G1-CORT-NGIQ-BR-00000321-MNI2009CASYM-V1,NGIQ-BR-00000321,Right Precentral Gyrus,right,precentral,2024,GEO-G1-CORT-NGIQ-BR-00000321-FSAVG-V1,12731,12731.0,"[42.06, -5.96, 43.3]","[[3.0, -35.0, -3.0], [66.0, 14.0, 81.0]]",5,0.999529,2,0.0,1.0,1.13975,0.0,False,3e888e6ec991c3d85844d16d8227bff1a785eca9fb36002389c79c23677fba1e
GEO-G1-CORT-NGIQ-BR-00000322-MNI2009CASYM-V1,NGIQ-BR-00000322,Right Precuneus,right,precuneus,2025,GEO-G1-CORT-NGIQ-BR-00000322-FSAVG-V1,8468,8468.0,"[11.73, -55.92, 38.38]","[[2.0, -82.0, 6.0], [30.0, -36.0, 82.0]]",3,0.999764,2,0.0,1.0,1.27511,0.0,False,2824398c2a74fa86079f786000349efa622604d92295a818b2e6dbb19bad047f
GEO-G1-CORT-NGIQ-BR-00000323-MNI2009CASYM-V1,NGIQ-BR-00000323,Right Rostral Anterior Cingulate Cortex,right,rostralanteriorcingulate,2026,GEO-G1-CORT-NGIQ-BR-00000323-FSAVG-V1,2194,2194.0,"[7.19, 37.63, 4.78]","[[1.0, 24.0, -11.0], [16.0, 44.0, 19.0]]",4,0.997721,2,0.0,1.0,1.24165,0.0,False,3046e2300442b8968cae4fa128539b64afa686fd289604a64692ae229d1d5e57
