canonical_g4_id,canonical_name,hemisphere,source_region_pk,spatial_component_id,scientific_decision,decision_reason_code,candidate_allowed,evidence_reference,provenance_reference
NGIQ-BR-00000728,"Li (Thalamus, limitans Nucleus) left",left,2017,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LI_THALAMUS_LIMITANS_NUCLEUS,CONFLICT_REVIEW,HIGH_FRAGMENTATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000729,"Sg (Thalamus, suprageniculate Nucleus) right",right,2020,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SG_THALAMUS_SUPRAGENICULATE_NUCLEUS,CONFLICT_REVIEW,HIGH_FRAGMENTATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000730,"Sg (Thalamus, suprageniculate Nucleus) left",left,2023,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SG_THALAMUS_SUPRAGENICULATE_NUCLEUS,CONFLICT_REVIEW,HIGH_FRAGMENTATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000731,"LP (Thalamus, lateral posterior Nucleus) right",right,2026,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LP_THALAMUS_LATERAL_POSTERIOR_NUCLEUS,CONFLICT_REVIEW,HIGH_FRAGMENTATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000732,"LP (Thalamus, lateral posterior Nucleus) left",left,2029,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LP_THALAMUS_LATERAL_POSTERIOR_NUCLEUS,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000733,"PUi (Thalamus, inferior pulvinar) right",right,2032,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUI_THALAMUS_INFERIOR_PULVINAR,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000734,"PUi (Thalamus, inferior pulvinar) left",left,2035,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUI_THALAMUS_INFERIOR_PULVINAR,CONFLICT_REVIEW,HIGH_FRAGMENTATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000743,"VPMpc (Thalamus, ventral posterior medial Nucleus, parvocellular part) right",right,2062,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VPMPC_THALAMUS_VENTRAL_POSTERIOR_MEDIAL_NUCLEUS_PARVOCELLULAR_PART,CONFLICT_REVIEW,DIFFUSE_ASSOCIATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000744,"VPMpc (Thalamus, ventral posterior medial Nucleus, parvocellular part) left",left,2065,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VPMPC_THALAMUS_VENTRAL_POSTERIOR_MEDIAL_NUCLEUS_PARVOCELLULAR_PART,CONFLICT_REVIEW,LOW_DOMINANCE,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000745,"VPi (Thalamus, ventroposterior inferior Nucleus) right",right,2068,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VPI_THALAMUS_VENTROPOSTERIOR_INFERIOR_NUCLEUS,CONFLICT_REVIEW,DIFFUSE_ASSOCIATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
