hemisphere,g3_entity_id,parcel_id,official_code,official_modified_name,seed_mask_code,seed_type,cohort,current_authority_decision,g3_vertex_count,dk_label_name,dk_label_id,dk_vertex_count,intersection_vertex_count,source_coverage_ratio,target_coverage_ratio,g1_entity_id,g1_name_en,g1_alignment_status,is_no_g1_target
left,NGIQ-BR-00000063,47,OrG_L_6_4,medial area 11,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1218,medialorbitofrontal,14,0,694,0.569787,0,NGIQ-BR-00000280,Left Medial Orbitofrontal Cortex,ALIGNED,false
left,NGIQ-BR-00000063,47,OrG_L_6_4,medial area 11,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1218,rostralmiddlefrontal,27,0,50,0.041051,0,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,ALIGNED,false
left,NGIQ-BR-00000063,47,OrG_L_6_4,medial area 11,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1218,frontalpole,32,0,185,0.151888,0,,,NO_G1_TARGET,true
left,NGIQ-BR-00000065,49,OrG_L_6_5,area 13,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,2021,lateralorbitofrontal,12,0,722,0.357249,0,NGIQ-BR-00000278,Left Lateral Orbitofrontal Cortex,ALIGNED,false
left,NGIQ-BR-00000065,49,OrG_L_6_5,area 13,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,2021,medialorbitofrontal,14,0,1226,0.60663,0,NGIQ-BR-00000280,Left Medial Orbitofrontal Cortex,ALIGNED,false
left,NGIQ-BR-00000065,49,OrG_L_6_5,area 13,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,2021,rostralanteriorcingulate,26,0,38,0.018803,0,NGIQ-BR-00000292,Left Rostral Anterior Cingulate Cortex,ALIGNED,false
left,NGIQ-BR-00000065,49,OrG_L_6_5,area 13,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,2021,insula,35,0,35,0.017318,0,NGIQ-BR-00000299,Left Insula,ALIGNED,false
left,NGIQ-BR-00000067,51,OrG_L_6_6,lateral area 12/47,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1482,lateralorbitofrontal,12,0,750,0.506073,0,NGIQ-BR-00000278,Left Lateral Orbitofrontal Cortex,ALIGNED,false
left,NGIQ-BR-00000067,51,OrG_L_6_6,lateral area 12/47,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1482,parsorbitalis,19,0,580,0.391363,0,NGIQ-BR-00000285,"Left Inferior Frontal Gyrus, Pars Orbitalis",ALIGNED,false
left,NGIQ-BR-00000067,51,OrG_L_6_6,lateral area 12/47,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1482,parstriangularis,20,0,117,0.078947,0,NGIQ-BR-00000286,"Left Inferior Frontal Gyrus, Pars Triangularis",ALIGNED,false
left,NGIQ-BR-00000067,51,OrG_L_6_6,lateral area 12/47,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1482,rostralmiddlefrontal,27,0,35,0.023617,0,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,ALIGNED,false
left,NGIQ-BR-00000069,53,PrG_L_6_1,area 4(head and face region),PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,3000,postcentral,22,0,11,0.003667,0,NGIQ-BR-00000288,Left Postcentral Gyrus,ALIGNED,false
left,NGIQ-BR-00000069,53,PrG_L_6_1,area 4(head and face region),PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,3000,precentral,24,0,2989,0.996333,0,NGIQ-BR-00000290,Left Precentral Gyrus,ALIGNED,false
left,NGIQ-BR-00000071,55,PrG_L_6_2,caudal dorsolateral area 6,PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,2095,caudalmiddlefrontal,3,0,140,0.066826,0,NGIQ-BR-00000270,Left Caudal Middle Frontal Gyrus,ALIGNED,false
left,NGIQ-BR-00000071,55,PrG_L_6_2,caudal dorsolateral area 6,PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,2095,precentral,24,0,1923,0.9179,0,NGIQ-BR-00000290,Left Precentral Gyrus,ALIGNED,false
left,NGIQ-BR-00000071,55,PrG_L_6_2,caudal dorsolateral area 6,PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,2095,superiorfrontal,28,0,32,0.015274,0,NGIQ-BR-00000294,Left Superior Frontal Gyrus,ALIGNED,false
left,NGIQ-BR-00000073,57,PrG_L_6_3,area 4(upper limb region),PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,2106,postcentral,22,0,197,0.093542,0,NGIQ-BR-00000288,Left Postcentral Gyrus,ALIGNED,false
left,NGIQ-BR-00000073,57,PrG_L_6_3,area 4(upper limb region),PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,2106,precentral,24,0,1909,0.906458,0,NGIQ-BR-00000290,Left Precentral Gyrus,ALIGNED,false
left,NGIQ-BR-00000075,59,PrG_L_6_4,area 4(trunk region),PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,847,paracentral,17,0,1,0.001181,0,NGIQ-BR-00000283,Left Paracentral Lobule,ALIGNED,false
