canonical_g4_id,canonical_g4_name,hemisphere,spatial_component_id,spatial_asset_file,spatial_evidence_status,pp_top1_g3,pp_top1_name,pp_top1_g4_weighted,pp_top1_joint_mass,hard_top1_g3,hard_top1_coverage,hard_top2_coverage,hard_top1_top2_margin,hard_total_bna_coverage,bna_uncovered_fraction,effective_target_count,top1_agreement,scientific_decision,decision_reason_code,future_rollup_eligible,future_primary_rollup,decision_policy_version,review_status,mapping_candidate_allowed
NGIQ-BR-00000631,Area p24c.pd24cd (pACC) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24C_PACC,AREA_P24C_PACC_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000032,SFG_R_7_7,0.30823077,509.88819043,NGIQ-BR-00000194,0.33898049,0.30637543,0.03260505,0.959134,0.040866,4.133,FALSE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
NGIQ-BR-00000632,Area p24c.pd24cv (pACC) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24C_PACC,AREA_P24C_PACC_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000032,SFG_R_7_7,0.30823077,509.88819043,NGIQ-BR-00000194,0.33898049,0.30637543,0.03260505,0.959134,0.040866,4.133,FALSE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
NGIQ-BR-00000633,Area p24c.pv24c (pACC) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24C_PACC,AREA_P24C_PACC_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000032,SFG_R_7_7,0.30823077,509.88819043,NGIQ-BR-00000194,0.33898049,0.30637543,0.03260505,0.959134,0.040866,4.133,FALSE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
NGIQ-BR-00000634,Area p24c.pd24cd (pACC) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24C_PACC,AREA_P24C_PACC_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000193,CG_L_7_7,0.32204003,417.4004616,NGIQ-BR-00000185,0.43082422,0.38455378,0.04627044,0.96455395,0.03544605,2.919,FALSE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
NGIQ-BR-00000635,Area p24c.pd24cv (pACC) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24C_PACC,AREA_P24C_PACC_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000193,CG_L_7_7,0.32204003,417.4004616,NGIQ-BR-00000185,0.43082422,0.38455378,0.04627044,0.96455395,0.03544605,2.919,FALSE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
NGIQ-BR-00000636,Area p24c.pv24c (pACC) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24C_PACC,AREA_P24C_PACC_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000193,CG_L_7_7,0.32204003,417.4004616,NGIQ-BR-00000185,0.43082422,0.38455378,0.04627044,0.96455395,0.03544605,2.919,FALSE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
NGIQ-BR-00000637,Area 25.25a (sACC) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_25_SACC,AREA_25_SACC_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000066,OrG_R_6_5,0.4148283,138.27659278,NGIQ-BR-00000066,0.44490675,0.38640591,0.05850084,0.93526545,0.06473455,2.6244,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
NGIQ-BR-00000638,Area 25.25p (sACC) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_25_SACC,AREA_25_SACC_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000066,OrG_R_6_5,0.4148283,138.27659278,NGIQ-BR-00000066,0.44490675,0.38640591,0.05850084,0.93526545,0.06473455,2.6244,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
NGIQ-BR-00000639,Area 25.25a (sACC) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_25_SACC,AREA_25_SACC_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000065,OrG_L_6_5,0.67576347,200.83920005,NGIQ-BR-00000065,0.7365528,0.13487667,0.60167613,0.92108755,0.07891245,1.9028,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
NGIQ-BR-00000640,Area 25.25p (sACC) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_25_SACC,AREA_25_SACC_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000065,OrG_L_6_5,0.67576347,200.83920005,NGIQ-BR-00000065,0.7365528,0.13487667,0.60167613,0.92108755,0.07891245,1.9028,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
