example_set,row_index,julich_asset_file,julich_region_name,julich_hemisphere,spatial_identity_status,pp_top1_g3_id,pp_top1_name,pp_top1_g4_weighted,hard_top1_g3_id,hard_top1_coverage,hard_total_bna_coverage,bna_uncovered_fraction,effective_target_count,top1_agreement,evidence_pattern
E_highest_effective_targets,24,AREA_4A_PRECG_RIGHT.nii.gz,Area 4a (PreCG) right,right,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000074,PrG_R_6_3,0.19683403,NGIQ-BR-00000074,0.17430741,0.82908658,0.17091342,7.5134,TRUE,DIFFUSE_ASSOCIATION
F_shared_spatial_component_examples,9,AREA_25_SACC_LEFT.nii.gz,Area 25 (sACC) left,left,SHARED_SPATIAL_REPRESENTATION,NGIQ-BR-00000065,OrG_L_6_5,0.67576347,NGIQ-BR-00000065,0.7365528,0.92108755,0.07891245,1.9028,TRUE,SHARED_SPATIAL_REPRESENTATION
F_shared_spatial_component_examples,10,AREA_25_SACC_RIGHT.nii.gz,Area 25 (sACC) right,right,SHARED_SPATIAL_REPRESENTATION,NGIQ-BR-00000066,OrG_R_6_5,0.4148283,NGIQ-BR-00000066,0.44490675,0.93526545,0.06473455,2.6244,TRUE,SHARED_SPATIAL_REPRESENTATION
F_shared_spatial_component_examples,211,AREA_P24AB_PACC_LEFT.nii.gz,Area p24ab (pACC) left,left,SHARED_SPATIAL_REPRESENTATION,NGIQ-BR-00000193,CG_L_7_7,0.49586214,NGIQ-BR-00000193,0.65891131,0.95663341,0.04336659,2.3645,TRUE,SHARED_SPATIAL_REPRESENTATION
F_shared_spatial_component_examples,212,AREA_P24AB_PACC_RIGHT.nii.gz,Area p24ab (pACC) right,right,SHARED_SPATIAL_REPRESENTATION,NGIQ-BR-00000194,CG_R_7_7,0.44262864,NGIQ-BR-00000194,0.57189325,0.93017204,0.06982796,3.3443,TRUE,SHARED_SPATIAL_REPRESENTATION
F_shared_spatial_component_examples,213,AREA_P24C_PACC_LEFT.nii.gz,Area p24c (pACC) left,left,SHARED_SPATIAL_REPRESENTATION,NGIQ-BR-00000193,CG_L_7_7,0.32204003,NGIQ-BR-00000185,0.43082422,0.96455395,0.03544605,2.919,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT
F_shared_spatial_component_examples,214,AREA_P24C_PACC_RIGHT.nii.gz,Area p24c (pACC) right,right,SHARED_SPATIAL_REPRESENTATION,NGIQ-BR-00000032,SFG_R_7_7,0.30823077,NGIQ-BR-00000194,0.33898049,0.959134,0.040866,4.133,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT
F_shared_spatial_component_examples,237,AREA_PIRTB_PIRIFORMCORTEXMESIAL_TEMPOROBASAL_LEFT.nii.gz,"Area PirTB (PiriformCortexMesial, temporobasal) left",left,SHARED_SPATIAL_REPRESENTATION,NGIQ-BR-00000065,OrG_L_6_5,0.15491425,NGIQ-BR-00000065,0.15591584,0.20597459,0.79402541,2.1193,TRUE,SHARED_SPATIAL_REPRESENTATION
F_shared_spatial_component_examples,238,AREA_PIRTB_PIRIFORMCORTEXMESIAL_TEMPOROBASAL_RIGHT.nii.gz,"Area PirTB (PiriformCortexMesial, temporobasal) right",right,SHARED_SPATIAL_REPRESENTATION,NGIQ-BR-00000172,INS_R_6_2,0.08588584,NGIQ-BR-00000172,0.12101112,0.14540823,0.85459177,1.8874,TRUE,SHARED_SPATIAL_REPRESENTATION
F_shared_spatial_component_examples,239,AREA_PIRT_PIRIFORMCORTEXMESIAL_TEMPORAL_LEFT.nii.gz,"Area PirT (PiriformCortexMesial, temporal) left",left,SHARED_SPATIAL_REPRESENTATION,NGIQ-BR-00000005,STG_L_6_1,0.36536999,NGIQ-BR-00000005,0.5148509,0.76259743,0.23740257,2.8433,TRUE,SHARED_SPATIAL_REPRESENTATION
F_shared_spatial_component_examples,240,AREA_PIRT_PIRIFORMCORTEXMESIAL_TEMPORAL_RIGHT.nii.gz,"Area PirT (PiriformCortexMesial, temporal) right",right,SHARED_SPATIAL_REPRESENTATION,NGIQ-BR-00000006,STG_R_6_1,0.6699076,NGIQ-BR-00000006,0.77193122,0.79897363,0.20102637,1.2039,TRUE,SHARED_SPATIAL_REPRESENTATION
