pair_id,family,modified_name,seed_dk_constituents,left_parcel_id,left_g3,left_authority,left_top1_dk,left_top1_g1,left_top1_cov,left_top2_dk,left_top2_cov,left_margin,left_non_g1,left_n_dk,right_parcel_id,right_g3,right_authority,right_top1_dk,right_top1_g1,right_top1_cov,right_top2_dk,right_top2_cov,right_margin,right_non_g1,right_n_dk,bilateral_status,review_tags,special_case
IPL_6_1,IPL,caudal area 39(PGp),Inferior Parietal Lobule; Supramarginal Gyrus,135,NGIQ-BR-00000011,PENDING_HUMAN_REVIEW,inferiorparietal,Left Inferior Parietal Lobule,0.969985,superiorparietal,0.025013,0.944972,0.0,3,136,NGIQ-BR-00000012,PENDING_HUMAN_REVIEW,inferiorparietal,Right Inferior Parietal Lobule,0.98316,middletemporal,0.014435,0.968725,0.0,4,SAME_TOP1_TARGET,HIGH_SPATIAL_CONCORDANCE,no
IPL_6_2,IPL,rostrodorsal area 39(Hip3),Inferior Parietal Lobule; Supramarginal Gyrus,137,NGIQ-BR-00000145,PENDING_HUMAN_REVIEW,inferiorparietal,Left Inferior Parietal Lobule,0.794705,supramarginal,0.112016,0.682688,0.0,3,138,NGIQ-BR-00000146,PENDING_HUMAN_REVIEW,inferiorparietal,Right Inferior Parietal Lobule,0.927823,superiorparietal,0.072177,0.855647,0.0,2,ASYMMETRIC_COVERAGE,MID_SPATIAL_CONCORDANCE,no
IPL_6_3,IPL,rostrodorsal area 40(PFt),Inferior Parietal Lobule; Supramarginal Gyrus,139,NGIQ-BR-00000147,PENDING_HUMAN_REVIEW,supramarginal,Left Supramarginal Gyrus,0.974017,postcentral,0.022121,0.951896,0.0,3,140,NGIQ-BR-00000148,PENDING_HUMAN_REVIEW,supramarginal,Right Supramarginal Gyrus,0.794611,inferiorparietal,0.178442,0.616168,0.0,4,ASYMMETRIC_COVERAGE,MID_SPATIAL_CONCORDANCE,no
IPL_6_4,IPL,caudal area 40(PFm),Inferior Parietal Lobule; Supramarginal Gyrus,141,NGIQ-BR-00000149,PENDING_HUMAN_REVIEW,supramarginal,Left Supramarginal Gyrus,0.82732,inferiorparietal,0.154466,0.672855,0.0,3,142,NGIQ-BR-00000150,PENDING_HUMAN_REVIEW,supramarginal,Right Supramarginal Gyrus,0.695634,inferiorparietal,0.299279,0.396354,0.0,3,ASYMMETRIC_COVERAGE,BOUNDARY_LIKE,no
IPL_6_5,IPL,rostroventral area 39(PGa),Inferior Parietal Lobule; Supramarginal Gyrus,143,NGIQ-BR-00000151,PENDING_HUMAN_REVIEW,inferiorparietal,Left Inferior Parietal Lobule,0.901837,supramarginal,0.085247,0.81659,0.004592,5,144,NGIQ-BR-00000152,PENDING_HUMAN_REVIEW,inferiorparietal,Right Inferior Parietal Lobule,0.917989,supramarginal,0.049386,0.868602,0.027237,4,SAME_TOP1_TARGET,HIGH_SPATIAL_CONCORDANCE;NON_G1_COMPONENT_PRESENT,no
IPL_6_6,IPL,rostroventral area 40(PFop),Inferior Parietal Lobule; Supramarginal Gyrus,145,NGIQ-BR-00000153,PENDING_HUMAN_REVIEW,supramarginal,Left Supramarginal Gyrus,0.970365,superiortemporal,0.018432,0.951934,0.0,4,146,NGIQ-BR-00000154,PENDING_HUMAN_REVIEW,supramarginal,Right Supramarginal Gyrus,0.965971,postcentral,0.018561,0.947409,0.0,5,SAME_TOP1_TARGET,HIGH_SPATIAL_CONCORDANCE,no
CG_7_1,CG,dorsal area 23,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,175,NGIQ-BR-00000181,PENDING_HUMAN_REVIEW,isthmuscingulate,Left Isthmus Of Cingulate Gyrus,0.608768,posteriorcingulate,0.378825,0.229942,0.0,3,176,NGIQ-BR-00000182,PENDING_HUMAN_REVIEW,isthmuscingulate,Right Isthmus Of Cingulate Gyrus,0.616038,posteriorcingulate,0.346226,0.269811,0.0,3,SAME_TOP1_TARGET,BOUNDARY_LIKE,no
CG_7_2,CG,rostroventral area 24,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,177,NGIQ-BR-00000183,PENDING_HUMAN_REVIEW,caudalanteriorcingulate,Left Caudal Anterior Cingulate Cortex,0.57441,posteriorcingulate,0.372958,0.201452,0.0,3,178,NGIQ-BR-00000184,PENDING_HUMAN_REVIEW,caudalanteriorcingulate,Right Caudal Anterior Cingulate Cortex,0.474679,rostralanteriorcingulate,0.272113,0.202566,0.0,4,SAME_TOP1_TARGET,BOUNDARY_LIKE,no
CG_7_3,CG,pregenual area 32,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,179,NGIQ-BR-00000185,PENDING_HUMAN_REVIEW,superiorfrontal,Left Superior Frontal Gyrus,0.402509,caudalanteriorcingulate,0.337514,0.064994,0.0,3,180,NGIQ-BR-00000186,PENDING_HUMAN_REVIEW,caudalanteriorcingulate,Right Caudal Anterior Cingulate Cortex,0.805991,superiorfrontal,0.141227,0.664765,0.0,3,DIFFERENT_TOP1_TARGET,BILATERAL_TARGET_DISAGREEMENT;BOUNDARY_LIKE,no
CG_7_4,CG,ventral area 23,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,181,NGIQ-BR-00000187,PENDING_HUMAN_REVIEW,isthmuscingulate,Left Isthmus Of Cingulate Gyrus,0.861462,posteriorcingulate,0.092908,0.768554,0.0,5,182,NGIQ-BR-00000188,PENDING_HUMAN_REVIEW,isthmuscingulate,Right Isthmus Of Cingulate Gyrus,0.892114,posteriorcingulate,0.063722,0.828391,0.0,5,SAME_TOP1_TARGET,MID_SPATIAL_CONCORDANCE,no
