pair_id,left_g3_entity_id,right_g3_entity_id,seed_mask_code,cohort,left_top1_g1,right_top1_g1,left_top1_cov,right_top1_cov,left_top1_dk,right_top1_dk,consistency_status
MTG_4_1,NGIQ-BR-00000007,NGIQ-BR-00000008,MTG,SINGLE_SEED_CONTROL,Middle Temporal Gyrus,Middle Temporal Gyrus,0.984639,0.97619,middletemporal,middletemporal,SAME_TOP1_TARGET
MTG_4_2,NGIQ-BR-00000095,NGIQ-BR-00000096,MTG,SINGLE_SEED_CONTROL,Middle Temporal Gyrus,Middle Temporal Gyrus,0.935897,0.895701,middletemporal,middletemporal,SAME_TOP1_TARGET
MTG_4_3,NGIQ-BR-00000097,NGIQ-BR-00000098,MTG,SINGLE_SEED_CONTROL,Middle Temporal Gyrus,Middle Temporal Gyrus,0.952486,0.873643,middletemporal,middletemporal,SAME_TOP1_TARGET
MTG_4_4,NGIQ-BR-00000099,NGIQ-BR-00000100,MTG,SINGLE_SEED_CONTROL,Middle Temporal Gyrus,Middle Temporal Gyrus,0.965917,0.594683,middletemporal,middletemporal,ASYMMETRIC_COVERAGE
ITG_7_1,NGIQ-BR-00000101,NGIQ-BR-00000102,ITG,SINGLE_SEED_CONTROL,Inferior Temporal Gyrus,Inferior Temporal Gyrus,0.974138,1.0,inferiortemporal,inferiortemporal,SAME_TOP1_TARGET
ITG_7_2,NGIQ-BR-00000103,NGIQ-BR-00000104,ITG,SINGLE_SEED_CONTROL,Inferior Temporal Gyrus,Inferior Temporal Gyrus,1.0,1.0,inferiortemporal,inferiortemporal,SAME_TOP1_TARGET
ITG_7_3,NGIQ-BR-00000105,NGIQ-BR-00000106,ITG,SINGLE_SEED_CONTROL,Inferior Temporal Gyrus,Inferior Temporal Gyrus,0.909091,0.954545,inferiortemporal,inferiortemporal,SAME_TOP1_TARGET
ITG_7_4,NGIQ-BR-00000107,NGIQ-BR-00000108,ITG,SINGLE_SEED_CONTROL,Inferior Temporal Gyrus,Inferior Temporal Gyrus,0.796522,0.934189,inferiortemporal,inferiortemporal,ASYMMETRIC_COVERAGE
ITG_7_5,NGIQ-BR-00000109,NGIQ-BR-00000110,ITG,SINGLE_SEED_CONTROL,Inferior Temporal Gyrus,Inferior Temporal Gyrus,0.78866,0.888889,inferiortemporal,inferiortemporal,ASYMMETRIC_COVERAGE
ITG_7_6,NGIQ-BR-00000111,NGIQ-BR-00000112,ITG,SINGLE_SEED_CONTROL,Inferior Temporal Gyrus,Inferior Temporal Gyrus,0.754358,0.89755,inferiortemporal,inferiortemporal,ASYMMETRIC_COVERAGE
ITG_7_7,NGIQ-BR-00000113,NGIQ-BR-00000114,ITG,SINGLE_SEED_CONTROL,Inferior Temporal Gyrus,Inferior Temporal Gyrus,1.0,1.0,inferiortemporal,inferiortemporal,SAME_TOP1_TARGET
FuG_3_1,NGIQ-BR-00000115,NGIQ-BR-00000116,FuG,SINGLE_SEED_CONTROL,Fusiform Gyrus,Fusiform Gyrus,0.919677,0.870089,fusiform,fusiform,SAME_TOP1_TARGET
FuG_3_2,NGIQ-BR-00000117,NGIQ-BR-00000118,FuG,SINGLE_SEED_CONTROL,Fusiform Gyrus,Fusiform Gyrus,0.948454,0.9867,fusiform,fusiform,SAME_TOP1_TARGET
FuG_3_3,NGIQ-BR-00000119,NGIQ-BR-00000120,FuG,SINGLE_SEED_CONTROL,Fusiform Gyrus,Fusiform Gyrus,0.759022,0.761614,fusiform,fusiform,SAME_TOP1_TARGET
