g3_entity_id,g3_name_en,g3_name_zh,g3_source_name,g3_hemisphere,derived_anatomical_family,derivation_basis,g1_candidate_entity_id,g1_candidate_name_en,g1_candidate_name_zh,g1_hemisphere,candidate_relation,candidate_method,confidence_class,candidate_count,decision,review_reason
NGIQ-BR-00000033,"Left Middle frontal gyrus, Brainnetome 7_1",左侧额中回（Brainnetome 7-1）,MFG_L_7_1,left,Middle frontal gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: caudal middle frontal gyrus; rostral middle frontal cortex
NGIQ-BR-00000035,"Left Middle frontal gyrus, Brainnetome 7_2",左侧额中回（Brainnetome 7-2）,MFG_L_7_2,left,Middle frontal gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: caudal middle frontal gyrus; rostral middle frontal cortex
NGIQ-BR-00000037,"Left Middle frontal gyrus, Brainnetome 7_3",左侧额中回（Brainnetome 7-3）,MFG_L_7_3,left,Middle frontal gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: caudal middle frontal gyrus; rostral middle frontal cortex
NGIQ-BR-00000039,"Left Middle frontal gyrus, Brainnetome 7_4",左侧额中回（Brainnetome 7-4）,MFG_L_7_4,left,Middle frontal gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: caudal middle frontal gyrus; rostral middle frontal cortex
NGIQ-BR-00000041,"Left Middle frontal gyrus, Brainnetome 7_5",左侧额中回（Brainnetome 7-5）,MFG_L_7_5,left,Middle frontal gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: caudal middle frontal gyrus; rostral middle frontal cortex
NGIQ-BR-00000043,"Left Middle frontal gyrus, Brainnetome 7_6",左侧额中回（Brainnetome 7-6）,MFG_L_7_6,left,Middle frontal gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: caudal middle frontal gyrus; rostral middle frontal cortex
NGIQ-BR-00000045,"Left Middle frontal gyrus, Brainnetome 7_7",左侧额中回（Brainnetome 7-7）,MFG_L_7_7,left,Middle frontal gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: caudal middle frontal gyrus; rostral middle frontal cortex
NGIQ-BR-00000007,"Left Middle temporal gyrus, Brainnetome 4_1",左侧颞中回（Brainnetome 4-1）,MTG_L_4_1,left,Middle temporal gyrus,CANONICAL_NAME,NGIQ-BR-00000281,Left Middle Temporal Gyrus,左颞中回,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000095,"Left Middle temporal gyrus, Brainnetome 4_2",左侧颞中回（Brainnetome 4-2）,MTG_L_4_2,left,Middle temporal gyrus,CANONICAL_NAME,NGIQ-BR-00000281,Left Middle Temporal Gyrus,左颞中回,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000097,"Left Middle temporal gyrus, Brainnetome 4_3",左侧颞中回（Brainnetome 4-3）,MTG_L_4_3,left,Middle temporal gyrus,CANONICAL_NAME,NGIQ-BR-00000281,Left Middle Temporal Gyrus,左颞中回,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000099,"Left Middle temporal gyrus, Brainnetome 4_4",左侧颞中回（Brainnetome 4-4）,MTG_L_4_4,left,Middle temporal gyrus,CANONICAL_NAME,NGIQ-BR-00000281,Left Middle Temporal Gyrus,左颞中回,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000057,"Left Orbital gyrus, Brainnetome 6_1",左侧眶回（Brainnetome 6-1）,OrG_L_6_1,left,Orbital gyrus,MANUAL_REVIEW_REQUIRED,,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: lateral orbitofrontal cortex; medial orbitofrontal cortex
