parcel_id,official_hemisphere_code,modified_cyto_code,volumetric_label_index,official_compact_ext_id,hemisphere,g3_entity_id,g3_name,alignment_method,alignment_status
70,STG_R_6_1,A38m,70,STG_R_6_1,right,NGIQ-BR-00000006,STG_R_6_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
71,STG_L_6_2,A41/42,71,STG_L_6_2,left,NGIQ-BR-00000085,STG_L_6_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
72,STG_R_6_2,A41/42,72,STG_R_6_2,right,NGIQ-BR-00000086,STG_R_6_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
73,STG_L_6_3,TE1.0 and TE1.2,73,STG_L_6_3,left,NGIQ-BR-00000087,STG_L_6_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
74,STG_R_6_3,TE1.0 and TE1.2,74,STG_R_6_3,right,NGIQ-BR-00000088,STG_R_6_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
75,STG_L_6_4,A22c,75,STG_L_6_4,left,NGIQ-BR-00000089,STG_L_6_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
76,STG_R_6_4,A22c,76,STG_R_6_4,right,NGIQ-BR-00000090,STG_R_6_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
77,STG_L_6_5,A38l,77,STG_L_6_5,left,NGIQ-BR-00000091,STG_L_6_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
78,STG_R_6_5,A38l,78,STG_R_6_5,right,NGIQ-BR-00000092,STG_R_6_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
79,STG_L_6_6,A22r,79,STG_L_6_6,left,NGIQ-BR-00000093,STG_L_6_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
80,STG_R_6_6,A22r,80,STG_R_6_6,right,NGIQ-BR-00000094,STG_R_6_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
81,MTG_L_4_1,A21c,81,MTG_L_4_1,left,NGIQ-BR-00000007,MTG_L_4_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
82,MTG_R_4_1,A21c,82,MTG_R_4_1,right,NGIQ-BR-00000008,MTG_R_4_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
83,MTG_L_4_2,A21r,83,MTG_L_4_2,left,NGIQ-BR-00000095,MTG_L_4_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
84,MTG_R_4_2,A21r,84,MTG_R_4_2,right,NGIQ-BR-00000096,MTG_R_4_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
85,MTG_L_4_3,A37dl,85,MTG_L_4_3,left,NGIQ-BR-00000097,MTG_L_4_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
86,MTG_R_4_3,A37dl,86,MTG_R_4_3,right,NGIQ-BR-00000098,MTG_R_4_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
87,MTG_L_4_4,aSTS,87,MTG_L_4_4,left,NGIQ-BR-00000099,MTG_L_4_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
88,MTG_R_4_4,aSTS,88,MTG_R_4_4,right,NGIQ-BR-00000100,MTG_R_4_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
89,ITG_L_7_1,A20iv,89,ITG_L_7_1,left,NGIQ-BR-00000101,ITG_L_7_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
90,ITG_R_7_1,A20iv,90,ITG_R_7_1,right,NGIQ-BR-00000102,ITG_R_7_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
91,ITG_L_7_2,A37elv,91,ITG_L_7_2,left,NGIQ-BR-00000103,ITG_L_7_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
92,ITG_R_7_2,A37elv,92,ITG_R_7_2,right,NGIQ-BR-00000104,ITG_R_7_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
93,ITG_L_7_3,A20r,93,ITG_L_7_3,left,NGIQ-BR-00000105,ITG_L_7_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
94,ITG_R_7_3,A20r,94,ITG_R_7_3,right,NGIQ-BR-00000106,ITG_R_7_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
95,ITG_L_7_4,A20il,95,ITG_L_7_4,left,NGIQ-BR-00000107,ITG_L_7_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
96,ITG_R_7_4,A20il,96,ITG_R_7_4,right,NGIQ-BR-00000108,ITG_R_7_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
97,ITG_L_7_5,A37vl,97,ITG_L_7_5,left,NGIQ-BR-00000109,ITG_L_7_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
98,ITG_R_7_5,A37vl,98,ITG_R_7_5,right,NGIQ-BR-00000110,ITG_R_7_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
99,ITG_L_7_6,A20cl,99,ITG_L_7_6,left,NGIQ-BR-00000111,ITG_L_7_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
100,ITG_R_7_6,A20cl,100,ITG_R_7_6,right,NGIQ-BR-00000112,ITG_R_7_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
101,ITG_L_7_7,A20cv,101,ITG_L_7_7,left,NGIQ-BR-00000113,ITG_L_7_7,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
102,ITG_R_7_7,A20cv,102,ITG_R_7_7,right,NGIQ-BR-00000114,ITG_R_7_7,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
103,FuG_L_3_1,A20rv,103,FuG_L_3_1,left,NGIQ-BR-00000115,FuG_L_3_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
104,FuG_R_3_1,A20rv,104,FuG_R_3_1,right,NGIQ-BR-00000116,FuG_R_3_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
105,FuG_L_3_2,A37mv,105,FuG_L_3_2,left,NGIQ-BR-00000117,FuG_L_3_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
106,FuG_R_3_2,A37mv,106,FuG_R_3_2,right,NGIQ-BR-00000118,FuG_R_3_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
107,FuG_L_3_3,A37lv,107,FuG_L_3_3,left,NGIQ-BR-00000119,FuG_L_3_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
108,FuG_R_3_3,A37lv,108,FuG_R_3_3,right,NGIQ-BR-00000120,FuG_R_3_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
109,PhG_L_6_1,A35/36r,109,Ent_L_6_1,left,NGIQ-BR-00000121,Ent_L_6_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
110,PhG_R_6_1,A35/36r,110,Ent_R_6_1,right,NGIQ-BR-00000122,Ent_R_6_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
111,PhG_L_6_2,A35/36c,111,Ent_L_6_2,left,NGIQ-BR-00000123,Ent_L_6_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
112,PhG_R_6_2,A35/36c,112,Ent_R_6_2,right,NGIQ-BR-00000124,Ent_R_6_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
113,PhG_L_6_3,TL,113,Ent_L_6_3,left,NGIQ-BR-00000125,Ent_L_6_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
114,PhG_R_6_3,TL,114,Ent_R_6_3,right,NGIQ-BR-00000126,Ent_R_6_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
115,PhG_L_6_4,A28/34,115,Ent_L_6_4,left,NGIQ-BR-00000127,Ent_L_6_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
116,PhG_R_6_4,A28/34,116,Ent_R_6_4,right,NGIQ-BR-00000128,Ent_R_6_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
117,PhG_L_6_5,TI,117,Ent_L_6_5,left,NGIQ-BR-00000129,Ent_L_6_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
118,PhG_R_6_5,TI,118,Ent_R_6_5,right,NGIQ-BR-00000130,Ent_R_6_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
119,PhG_L_6_6,TH,119,Ent_L_6_6,left,NGIQ-BR-00000131,Ent_L_6_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
120,PhG_R_6_6,TH,120,Ent_R_6_6,right,NGIQ-BR-00000132,Ent_R_6_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
121,pSTS_L_2_1,rpSTS,121,pSTS_L_2_1,left,NGIQ-BR-00000133,pSTS_L_2_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
122,pSTS_R_2_1,rpSTS,122,pSTS_R_2_1,right,NGIQ-BR-00000134,pSTS_R_2_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
123,pSTS_L_2_2,cpSTS,123,pSTS_L_2_2,left,NGIQ-BR-00000135,pSTS_L_2_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
124,pSTS_R_2_2,cpSTS,124,pSTS_R_2_2,right,NGIQ-BR-00000136,pSTS_R_2_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
125,SPL_L_5_1,A7r,125,SPL_L_5_1,left,NGIQ-BR-00000009,SPL_L_5_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
126,SPL_R_5_1,A7r,126,SPL_R_5_1,right,NGIQ-BR-00000010,SPL_R_5_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
127,SPL_L_5_2,A7c,127,SPL_L_5_2,left,NGIQ-BR-00000137,SPL_L_5_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
