parcel_id,official_code,official_macro_gyrus,official_modified_name,hemisphere,g3_entity_id,g3_name_en,g3_name_zh,g3_source_name_original,current_alias,alignment_method,alignment_status
84,MTG_R_4_2,"MTG, Middle temporal gyrus",rostral area 21,right,NGIQ-BR-00000096,"Right Middle temporal gyrus, Brainnetome 4_2",右侧颞中回（Brainnetome 4-2）,MTG_R_4_2,MTG_R_4_2,EXACT_BRAINNETOME_XREF,ALIGNED
85,MTG_L_4_3,"MTG, Middle temporal gyrus",dorsolateral area 37,left,NGIQ-BR-00000097,"Left Middle temporal gyrus, Brainnetome 4_3",左侧颞中回（Brainnetome 4-3）,MTG_L_4_3,MTG_L_4_3,EXACT_BRAINNETOME_XREF,ALIGNED
86,MTG_R_4_3,"MTG, Middle temporal gyrus",dorsolateral area 37,right,NGIQ-BR-00000098,"Right Middle temporal gyrus, Brainnetome 4_3",右侧颞中回（Brainnetome 4-3）,MTG_R_4_3,MTG_R_4_3,EXACT_BRAINNETOME_XREF,ALIGNED
87,MTG_L_4_4,"MTG, Middle temporal gyrus",anterior superior temporal sulcus,left,NGIQ-BR-00000099,"Left Middle temporal gyrus, Brainnetome 4_4",左侧颞中回（Brainnetome 4-4）,MTG_L_4_4,MTG_L_4_4,EXACT_BRAINNETOME_XREF,ALIGNED
88,MTG_R_4_4,"MTG, Middle temporal gyrus",anterior superior temporal sulcus,right,NGIQ-BR-00000100,"Right Middle temporal gyrus, Brainnetome 4_4",右侧颞中回（Brainnetome 4-4）,MTG_R_4_4,MTG_R_4_4,EXACT_BRAINNETOME_XREF,ALIGNED
89,ITG_L_7_1,"ITG, Inferior temporal gyrus",intermediate ventral area 20,left,NGIQ-BR-00000101,"Left Inferior temporal gyrus, Brainnetome 7_1",左侧颞下回（Brainnetome 7-1）,ITG_L_7_1,ITG_L_7_1,EXACT_BRAINNETOME_XREF,ALIGNED
90,ITG_R_7_1,"ITG, Inferior temporal gyrus",intermediate ventral area 20,right,NGIQ-BR-00000102,"Right Inferior temporal gyrus, Brainnetome 7_1",右侧颞下回（Brainnetome 7-1）,ITG_R_7_1,ITG_R_7_1,EXACT_BRAINNETOME_XREF,ALIGNED
91,ITG_L_7_2,"ITG, Inferior temporal gyrus",extreme lateroventral area 37,left,NGIQ-BR-00000103,"Left Inferior temporal gyrus, Brainnetome 7_2",左侧颞下回（Brainnetome 7-2）,ITG_L_7_2,ITG_L_7_2,EXACT_BRAINNETOME_XREF,ALIGNED
92,ITG_R_7_2,"ITG, Inferior temporal gyrus",extreme lateroventral area 37,right,NGIQ-BR-00000104,"Right Inferior temporal gyrus, Brainnetome 7_2",右侧颞下回（Brainnetome 7-2）,ITG_R_7_2,ITG_R_7_2,EXACT_BRAINNETOME_XREF,ALIGNED
93,ITG_L_7_3,"ITG, Inferior temporal gyrus",rostral area 20,left,NGIQ-BR-00000105,"Left Inferior temporal gyrus, Brainnetome 7_3",左侧颞下回（Brainnetome 7-3）,ITG_L_7_3,ITG_L_7_3,EXACT_BRAINNETOME_XREF,ALIGNED
94,ITG_R_7_3,"ITG, Inferior temporal gyrus",rostral area 20,right,NGIQ-BR-00000106,"Right Inferior temporal gyrus, Brainnetome 7_3",右侧颞下回（Brainnetome 7-3）,ITG_R_7_3,ITG_R_7_3,EXACT_BRAINNETOME_XREF,ALIGNED
95,ITG_L_7_4,"ITG, Inferior temporal gyrus",intermediate lateral area 20,left,NGIQ-BR-00000107,"Left Inferior temporal gyrus, Brainnetome 7_4",左侧颞下回（Brainnetome 7-4）,ITG_L_7_4,ITG_L_7_4,EXACT_BRAINNETOME_XREF,ALIGNED
96,ITG_R_7_4,"ITG, Inferior temporal gyrus",intermediate lateral area 20,right,NGIQ-BR-00000108,"Right Inferior temporal gyrus, Brainnetome 7_4",右侧颞下回（Brainnetome 7-4）,ITG_R_7_4,ITG_R_7_4,EXACT_BRAINNETOME_XREF,ALIGNED
97,ITG_L_7_5,"ITG, Inferior temporal gyrus",ventrolateral area 37,left,NGIQ-BR-00000109,"Left Inferior temporal gyrus, Brainnetome 7_5",左侧颞下回（Brainnetome 7-5）,ITG_L_7_5,ITG_L_7_5,EXACT_BRAINNETOME_XREF,ALIGNED
