canonical_g4_id,canonical_g4_name,hemisphere,relation,target_g3_id,source_reason,future_rollup_eligible,policy_version
NGIQ-BR-00000422,Area PGp (IPL) left,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000151,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000423,Area PFop (IPL) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000154,FINAL_MULTI_TARGET_PARTIAL_GATE_PASS,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000423,Area PFop (IPL) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000166,FINAL_MULTI_TARGET_PARTIAL_GATE_PASS,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000423,Area PFop (IPL) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000148,FINAL_MULTI_TARGET_PARTIAL_GATE_PASS,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000424,Area PFop (IPL) left,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000153,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000425,Area hPO1 (POS) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000212,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000425,Area hPO1 (POS) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000214,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000425,Area hPO1 (POS) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000160,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000428,Area hIP1 (IPS) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000145,FINAL_MULTI_TARGET_PARTIAL_GATE_PASS,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000428,Area hIP1 (IPS) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000139,FINAL_MULTI_TARGET_PARTIAL_GATE_PASS,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000428,Area hIP1 (IPS) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000147,FINAL_MULTI_TARGET_PARTIAL_GATE_PASS,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000429,Area hIP7 (IPS) right,right,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000214,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
