canonical_g4_id,canonical_g4_name,hemisphere,spatial_component_id,relation,target_g3_id,target_coverage,source_pp_top1_g4_weighted,source_hard_total_bna_coverage,source_bna_uncovered_fraction,decision_reason_code,future_rollup_eligible,future_primary_rollup,decision_policy_version,preliminary_relation_status
NGIQ-BR-00000593,Area CoS1 (CoS) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_COS1_COS,PARTIAL_OVERLAP,NGIQ-BR-00000116,0.412535,0.39398167,0.82974602,0.17025398,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000593,Area CoS1 (CoS) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_COS1_COS,PARTIAL_OVERLAP,NGIQ-BR-00000120,0.158703,0.39398167,0.82974602,0.17025398,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000593,Area CoS1 (CoS) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_COS1_COS,PARTIAL_OVERLAP,NGIQ-BR-00000126,0.212289,0.39398167,0.82974602,0.17025398,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000606,Area FG1 (FusG) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG1_FUSG,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000117,0.784051,0.63307075,0.93097007,0.06902993,DOMINANT_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000605,Area FG1 (FusG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG1_FUSG,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000118,0.603804,0.53112525,0.91425456,0.08574544,DOMINANT_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000602,Area FG2 (FusG) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG2_FUSG,PARTIAL_OVERLAP,NGIQ-BR-00000117,0.355026,0.40847432,0.96624795,0.03375205,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000602,Area FG2 (FusG) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG2_FUSG,PARTIAL_OVERLAP,NGIQ-BR-00000119,0.465578,0.40847432,0.96624795,0.03375205,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000601,Area FG2 (FusG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG2_FUSG,PARTIAL_OVERLAP,NGIQ-BR-00000118,0.172427,0.37115701,0.98636075,0.01363925,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000601,Area FG2 (FusG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG2_FUSG,PARTIAL_OVERLAP,NGIQ-BR-00000120,0.443498,0.37115701,0.98636075,0.01363925,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000601,Area FG2 (FusG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG2_FUSG,PARTIAL_OVERLAP,NGIQ-BR-00000206,0.195953,0.37115701,0.98636075,0.01363925,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000603,Area FG3 (FusG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG3_FUSG,PARTIAL_OVERLAP,NGIQ-BR-00000116,0.163151,0.36708928,0.81910616,0.18089384,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000603,Area FG3 (FusG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG3_FUSG,PARTIAL_OVERLAP,NGIQ-BR-00000118,0.439839,0.36708928,0.81910616,0.18089384,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
