candidate_id,source_entity_id,target_entity_id,mapping_relation,decision_fidelity_status,target_identity_status,hemisphere_status,coverage_status,method_status,lifecycle_status,provenance_status,review_result
G3G1-STAGE-3536B682365038BF6601,NGIQ-BR-00000094,NGIQ-BR-00000327,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-7E0EB034F902C1FC5718,NGIQ-BR-00000007,NGIQ-BR-00000281,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-8EF813348AC4CABFE697,NGIQ-BR-00000008,NGIQ-BR-00000312,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-FDE3E41E4F618DE4B520,NGIQ-BR-00000095,NGIQ-BR-00000281,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-0670E10DAB49D09D35E9,NGIQ-BR-00000096,NGIQ-BR-00000312,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-D916482E9D10CDEBA9C0,NGIQ-BR-00000097,NGIQ-BR-00000281,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-A5936471BCC1101E9B20,NGIQ-BR-00000098,NGIQ-BR-00000312,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-FB57948874C89CA0A112,NGIQ-BR-00000099,NGIQ-BR-00000281,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-5393E475713C3CA4BF6E,NGIQ-BR-00000100,NGIQ-BR-00000312,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-7E20F6B7B1A604A3D17B,NGIQ-BR-00000101,NGIQ-BR-00000275,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-1BAE8AB597B811F8E34C,NGIQ-BR-00000102,NGIQ-BR-00000306,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-F92DCD1DB64D6EA307B8,NGIQ-BR-00000103,NGIQ-BR-00000275,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-23F7C5FE5C97883E0EF5,NGIQ-BR-00000104,NGIQ-BR-00000306,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-650F1BD4B8B81364A05B,NGIQ-BR-00000105,NGIQ-BR-00000275,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-0BBBFD4B153D01F3F1A7,NGIQ-BR-00000106,NGIQ-BR-00000306,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-403F2F377FA9A1A436D2,NGIQ-BR-00000107,NGIQ-BR-00000275,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-AC7F975CB9E3BF6C45C1,NGIQ-BR-00000108,NGIQ-BR-00000306,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-C93C809F054C59D51513,NGIQ-BR-00000109,NGIQ-BR-00000275,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-8A48100D231D706C4C38,NGIQ-BR-00000110,NGIQ-BR-00000306,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-6BF6A8E39E988AEE8427,NGIQ-BR-00000111,NGIQ-BR-00000275,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-15CCA481769B5BDC56B2,NGIQ-BR-00000112,NGIQ-BR-00000306,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-9438A3FBD15AA43ADC22,NGIQ-BR-00000113,NGIQ-BR-00000275,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-332557CE853E04F7B63D,NGIQ-BR-00000114,NGIQ-BR-00000306,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-109A4F84A04D55D2C586,NGIQ-BR-00000115,NGIQ-BR-00000273,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-2E57F2AE4B63BCD302E8,NGIQ-BR-00000116,NGIQ-BR-00000304,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-8E754D98849E2028764F,NGIQ-BR-00000117,NGIQ-BR-00000273,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
