hemisphere,g3_entity_id,parcel_id,official_code,official_modified_name,seed_mask_code,left_right_pair_id,current_authority_decision,top1_dk_label,top1_dk_source_coverage,top2_dk_label,top2_dk_source_coverage,top1_minus_top2_margin,top1_g1_name,top1_g1_coverage,non_g1_dk_coverage_ratio,unlabeled_ratio
right,NGIQ-BR-00000042,24,MFG_R_7_5,ventrolateral area 8,MFG,MFG_7_5,PENDING_HUMAN_REVIEW,rostralmiddlefrontal,0.637713,caudalmiddlefrontal,0.362287,0.275427,Right Rostral Middle Frontal Cortex,0.637713,0,0.0
right,NGIQ-BR-00000044,26,MFG_R_7_6,ventrolateral area 6,MFG,MFG_7_6,PENDING_HUMAN_REVIEW,caudalmiddlefrontal,0.958541,superiorfrontal,0.04063,0.91791,Right Caudal Middle Frontal Gyrus,0.958541,0,0.0
right,NGIQ-BR-00000046,28,MFG_R_7_7,lateral area 10,MFG,MFG_7_7,PENDING_HUMAN_REVIEW,rostralmiddlefrontal,0.93571,parsorbitalis,0.028644,0.907066,Right Rostral Middle Frontal Cortex,0.93571,0,0.0
right,NGIQ-BR-00000004,30,IFG_R_6_1,dorsal area 44,IFG,IFG_6_1,PENDING_HUMAN_REVIEW,parsopercularis,0.72323,rostralmiddlefrontal,0.241379,0.481851,"Right Inferior Frontal Gyrus, Pars Opercularis",0.72323,0,0.0
right,NGIQ-BR-00000048,32,IFG_R_6_2,inferior frontal sulcus,IFG,IFG_6_2,NO_G1_ROLLUP,parstriangularis,0.726351,rostralmiddlefrontal,0.165541,0.560811,"Right Inferior Frontal Gyrus, Pars Triangularis",0.726351,0,0.0
right,NGIQ-BR-00000050,34,IFG_R_6_3,caudal area 45,IFG,IFG_6_3,PENDING_HUMAN_REVIEW,parsopercularis,0.516605,parstriangularis,0.483395,0.03321,"Right Inferior Frontal Gyrus, Pars Opercularis",0.516605,0,0.0
right,NGIQ-BR-00000052,36,IFG_R_6_4,rostral area 45,IFG,IFG_6_4,PENDING_HUMAN_REVIEW,parstriangularis,1.0,,0,1.0,"Right Inferior Frontal Gyrus, Pars Triangularis",1.0,0,0.0
right,NGIQ-BR-00000054,38,IFG_R_6_5,opercular area 44,IFG,IFG_6_5,PENDING_HUMAN_REVIEW,parstriangularis,0.530909,parsopercularis,0.437576,0.093333,"Right Inferior Frontal Gyrus, Pars Triangularis",0.530909,0,0.0
right,NGIQ-BR-00000056,40,IFG_R_6_6,ventral area 44,IFG,IFG_6_6,PENDING_HUMAN_REVIEW,parsopercularis,0.886726,precentral,0.113274,0.773451,"Right Inferior Frontal Gyrus, Pars Opercularis",0.886726,0,0.0
right,NGIQ-BR-00000058,42,OrG_R_6_1,medial area 14,OrG,OrG_6_1,PENDING_HUMAN_REVIEW,medialorbitofrontal,0.895669,rostralanteriorcingulate,0.058071,0.837598,Right Medial Orbitofrontal Cortex,0.895669,0,0.0
right,NGIQ-BR-00000060,44,OrG_R_6_2,orbital area 12/47,OrG,OrG_6_2,PENDING_HUMAN_REVIEW,parsorbitalis,0.620155,lateralorbitofrontal,0.379845,0.24031,"Right Inferior Frontal Gyrus, Pars Orbitalis",0.620155,0,0.0
right,NGIQ-BR-00000062,46,OrG_R_6_3,lateral area 11,OrG,OrG_6_3,PENDING_HUMAN_REVIEW,lateralorbitofrontal,0.956455,insula,0.024446,0.932009,Right Lateral Orbitofrontal Cortex,0.956455,0,0.0
right,NGIQ-BR-00000064,48,OrG_R_6_4,medial area 11,OrG,OrG_6_4,PENDING_HUMAN_REVIEW,medialorbitofrontal,0.563107,frontalpole,0.275579,0.452577,Right Medial Orbitofrontal Cortex,0.563107,0.275579,0.0
right,NGIQ-BR-00000066,50,OrG_R_6_5,area 13,OrG,OrG_6_5,PENDING_HUMAN_REVIEW,medialorbitofrontal,0.569756,lateralorbitofrontal,0.403259,0.166497,Right Medial Orbitofrontal Cortex,0.569756,0,0.0
right,NGIQ-BR-00000068,52,OrG_R_6_6,lateral area 12/47,OrG,OrG_6_6,PENDING_HUMAN_REVIEW,lateralorbitofrontal,0.495957,parsorbitalis,0.401617,0.09434,Right Lateral Orbitofrontal Cortex,0.495957,0,0.0
right,NGIQ-BR-00000006,70,STG_R_6_1,medial area 38,STG,STG_6_1,PENDING_HUMAN_REVIEW,temporalpole,0.794118,superiortemporal,0.147059,0.105664,Right Superior Temporal Gyrus,0.147059,0.794118,0.0
right,NGIQ-BR-00000086,72,STG_R_6_2,area 41/42,STG,STG_6_2,PENDING_HUMAN_REVIEW,superiortemporal,0.865783,transversetemporal,0.126761,0.739022,Right Superior Temporal Gyrus,0.865783,0,0.0
right,NGIQ-BR-00000088,74,STG_R_6_3,TE1.0 and TE1.2,STG,STG_6_3,PENDING_HUMAN_REVIEW,superiortemporal,0.675108,transversetemporal,0.304957,0.370151,Right Superior Temporal Gyrus,0.675108,0,0.0
right,NGIQ-BR-00000090,76,STG_R_6_4,caudal area 22,STG,STG_6_4,PENDING_HUMAN_REVIEW,superiortemporal,0.958685,bankssts,0.040472,0.957841,Right Superior Temporal Gyrus,0.958685,0.040472,0.0
right,NGIQ-BR-00000092,78,STG_R_6_5,lateral area 38,STG,STG_6_5,PENDING_HUMAN_REVIEW,superiortemporal,0.965749,insula,0.034251,0.931498,Right Superior Temporal Gyrus,0.965749,0,0.0
right,NGIQ-BR-00000094,80,STG_R_6_6,rostral area 22,STG,STG_6_6,PENDING_HUMAN_REVIEW,superiortemporal,0.970827,bankssts,0.029173,0.970827,Right Superior Temporal Gyrus,0.970827,0.029173,0.0
