canonical_g4_id,canonical_g4_name,hemisphere,spatial_component_id,spatial_asset_file,scientific_decision,decision_reason_code,semantic_compatibility_status,owner_review_status,future_rollup_eligible,future_primary_rollup,review_note,policy_version,evidence_reference_2ia,evidence_reference_2ib
NGIQ-BR-00000361,SF.AHi (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000362,SF.APir (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000363,SF.VCo (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000364,SF.AHi (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000365,SF.APir (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000366,SF.VCo (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000367,Astr (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ASTR_AMYGDALA,ASTR_AMYGDALA_RIGHT.nii.gz,CONFLICT_REVIEW,HIGH_FRAGMENTATION,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000368,Astr (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ASTR_AMYGDALA,ASTR_AMYGDALA_LEFT.nii.gz,CONFLICT_REVIEW,PARTIAL_TARGET_EVIDENCE_INCONSISTENT,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000369,VTM (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VTM_AMYGDALA,VTM_AMYGDALA_RIGHT.nii.gz,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000370,VTM (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VTM_AMYGDALA,VTM_AMYGDALA_LEFT.nii.gz,CONFLICT_REVIEW,SEMANTIC_FAMILY_MISMATCH,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
