hemisphere,g3_entity_id,parcel_id,official_code,official_modified_name,seed_mask_code,seed_type,cohort,current_authority_decision,g3_vertex_count,dk_unlabeled_vertex_count,dk_unlabeled_ratio,top1_dk_label,top1_dk_source_coverage,top2_dk_label,top2_dk_source_coverage,top3_dk_label,top3_dk_source_coverage,top1_minus_top2_margin,top1_g1_entity_id,top1_g1_name,top1_g1_coverage,non_g1_dk_coverage_ratio,unlabeled_ratio,number_of_overlapping_dk_regions,coverage_sum_error
left,NGIQ-BR-00000089,75,STG_L_6_4,caudal area 22,STG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1422,0,0.0,superiortemporal,0.954993,bankssts,0.043601,middletemporal,0.001406,0.953586,NGIQ-BR-00000296,Left Superior Temporal Gyrus,0.954993,0.043601,0.0,3,0.0
left,NGIQ-BR-00000091,77,STG_L_6_5,lateral area 38,STG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1042,0,0.0,superiortemporal,0.957774,insula,0.042226,,0,0.915547,NGIQ-BR-00000296,Left Superior Temporal Gyrus,0.957774,0,0.0,2,0.0
left,NGIQ-BR-00000093,79,STG_L_6_6,rostral area 22,STG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1582,0,0.0,superiortemporal,0.994943,middletemporal,0.005057,,0,0.989886,NGIQ-BR-00000296,Left Superior Temporal Gyrus,0.994943,0,0.0,2,0.0
left,NGIQ-BR-00000007,81,MTG_L_4_1,caudal area 21,MTG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,651,0,0.0,middletemporal,0.984639,inferiortemporal,0.015361,,0,0.969278,NGIQ-BR-00000281,Left Middle Temporal Gyrus,0.984639,0,0.0,2,0.0
left,NGIQ-BR-00000095,83,MTG_L_4_2,rostral area 21,MTG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,936,0,0.0,middletemporal,0.935897,superiortemporal,0.056624,inferiortemporal,0.007479,0.879274,NGIQ-BR-00000281,Left Middle Temporal Gyrus,0.935897,0,0.0,3,0.0
left,NGIQ-BR-00000097,85,MTG_L_4_3,dorsolateral area 37,MTG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,905,0,0.0,middletemporal,0.952486,bankssts,0.045304,inferiorparietal,0.00221,0.950276,NGIQ-BR-00000281,Left Middle Temporal Gyrus,0.952486,0.045304,0.0,3,0.0
left,NGIQ-BR-00000099,87,MTG_L_4_4,anterior superior temporal sulcus,MTG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1467,0,0.0,middletemporal,0.965917,superiortemporal,0.029993,bankssts,0.00409,0.935924,NGIQ-BR-00000281,Left Middle Temporal Gyrus,0.965917,0.00409,0.0,3,0.0
left,NGIQ-BR-00000101,89,ITG_L_7_1,intermediate ventral area 20,ITG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,348,0,0.0,inferiortemporal,0.974138,fusiform,0.025862,,0,0.948276,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,0.974138,0,0.0,2,0.0
left,NGIQ-BR-00000103,91,ITG_L_7_2,extreme lateroventral area 37,ITG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,480,0,0.0,inferiortemporal,1.0,,0,,0,1.0,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,1.0,0,0.0,1,0.0
left,NGIQ-BR-00000105,93,ITG_L_7_3,rostral area 20,ITG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,616,0,0.0,inferiortemporal,0.909091,middletemporal,0.064935,fusiform,0.025974,0.844156,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,0.909091,0,0.0,3,0.0
