column_index,component_index,parcel_id,canonical_g3_id,g3_region_name,g3_hemisphere,output_asset
96,96,96,NGIQ-BR-00000108,ITG_R_7_4,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp096_ITG_R_7_4_prob_2009c.nii.gz
97,97,97,NGIQ-BR-00000109,ITG_L_7_5,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp097_ITG_L_7_5_prob_2009c.nii.gz
98,98,98,NGIQ-BR-00000110,ITG_R_7_5,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp098_ITG_R_7_5_prob_2009c.nii.gz
99,99,99,NGIQ-BR-00000111,ITG_L_7_6,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp099_ITG_L_7_6_prob_2009c.nii.gz
100,100,100,NGIQ-BR-00000112,ITG_R_7_6,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp100_ITG_R_7_6_prob_2009c.nii.gz
101,101,101,NGIQ-BR-00000113,ITG_L_7_7,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp101_ITG_L_7_7_prob_2009c.nii.gz
102,102,102,NGIQ-BR-00000114,ITG_R_7_7,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp102_ITG_R_7_7_prob_2009c.nii.gz
103,103,103,NGIQ-BR-00000115,FuG_L_3_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp103_FuG_L_3_1_prob_2009c.nii.gz
104,104,104,NGIQ-BR-00000116,FuG_R_3_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp104_FuG_R_3_1_prob_2009c.nii.gz
105,105,105,NGIQ-BR-00000117,FuG_L_3_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp105_FuG_L_3_2_prob_2009c.nii.gz
106,106,106,NGIQ-BR-00000118,FuG_R_3_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp106_FuG_R_3_2_prob_2009c.nii.gz
107,107,107,NGIQ-BR-00000119,FuG_L_3_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp107_FuG_L_3_3_prob_2009c.nii.gz
108,108,108,NGIQ-BR-00000120,FuG_R_3_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp108_FuG_R_3_3_prob_2009c.nii.gz
109,109,109,NGIQ-BR-00000121,PhG_L_6_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp109_PhG_L_6_1_prob_2009c.nii.gz
110,110,110,NGIQ-BR-00000122,PhG_R_6_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp110_PhG_R_6_1_prob_2009c.nii.gz
111,111,111,NGIQ-BR-00000123,PhG_L_6_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp111_PhG_L_6_2_prob_2009c.nii.gz
112,112,112,NGIQ-BR-00000124,PhG_R_6_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp112_PhG_R_6_2_prob_2009c.nii.gz
113,113,113,NGIQ-BR-00000125,PhG_L_6_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp113_PhG_L_6_3_prob_2009c.nii.gz
114,114,114,NGIQ-BR-00000126,PhG_R_6_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp114_PhG_R_6_3_prob_2009c.nii.gz
115,115,115,NGIQ-BR-00000127,PhG_L_6_4,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp115_PhG_L_6_4_prob_2009c.nii.gz
116,116,116,NGIQ-BR-00000128,PhG_R_6_4,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp116_PhG_R_6_4_prob_2009c.nii.gz
117,117,117,NGIQ-BR-00000129,PhG_L_6_5,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp117_PhG_L_6_5_prob_2009c.nii.gz
118,118,118,NGIQ-BR-00000130,PhG_R_6_5,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp118_PhG_R_6_5_prob_2009c.nii.gz
119,119,119,NGIQ-BR-00000131,PhG_L_6_6,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp119_PhG_L_6_6_prob_2009c.nii.gz
120,120,120,NGIQ-BR-00000132,PhG_R_6_6,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp120_PhG_R_6_6_prob_2009c.nii.gz
121,121,121,NGIQ-BR-00000133,pSTS_L_2_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp121_pSTS_L_2_1_prob_2009c.nii.gz
122,122,122,NGIQ-BR-00000134,pSTS_R_2_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp122_pSTS_R_2_1_prob_2009c.nii.gz
