canonical_g4_id,canonical_g4_name,hemisphere,decision_2ia,reason_code_2ia,revised_owner_stratum,top_target_g3,hard_top1_coverage,review_status
NGIQ-BR-00000416,Area PGa (IPL) left,left,PARTIAL_OVERLAP,PARTIAL_CRITERIA_V1,UNCHANGED_2IA_PARTIAL_OVERLAP,NGIQ-BR-00000149,0.36640096,PENDING_OWNER_REVIEW
NGIQ-BR-00000417,Area PFt (IPL) right,right,PARTIAL_OVERLAP,PARTIAL_CRITERIA_V1,UNCHANGED_2IA_PARTIAL_OVERLAP,NGIQ-BR-00000148,0.43305463,PENDING_OWNER_REVIEW
NGIQ-BR-00000418,Area PFt (IPL) left,left,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,UNCHANGED_2IA_APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000147,0.56220665,PENDING_OWNER_REVIEW
NGIQ-BR-00000419,Area PFm (IPL) right,right,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,UNCHANGED_2IA_APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000150,0.7455803,PENDING_OWNER_REVIEW
NGIQ-BR-00000420,Area PFm (IPL) left,left,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,UNCHANGED_2IA_APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000149,0.67815209,PENDING_OWNER_REVIEW
NGIQ-BR-00000421,Area PGp (IPL) right,right,PARTIAL_OVERLAP,PARTIAL_CRITERIA_V1,UNCHANGED_2IA_PARTIAL_OVERLAP,NGIQ-BR-00000152,0.40539865,PENDING_OWNER_REVIEW
NGIQ-BR-00000422,Area PGp (IPL) left,left,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,UNCHANGED_2IA_APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000151,0.6505143,PENDING_OWNER_REVIEW
NGIQ-BR-00000423,Area PFop (IPL) right,right,CONFLICT_REVIEW,HIGH_FRAGMENTATION,PLAUSIBLE_MULTI_TARGET_PARTIAL,NGIQ-BR-00000154,0.30645752,PENDING_OWNER_REVIEW
NGIQ-BR-00000424,Area PFop (IPL) left,left,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,UNCHANGED_2IA_APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000153,0.52168404,PENDING_OWNER_REVIEW
NGIQ-BR-00000425,Area hPO1 (POS) right,right,PARTIAL_OVERLAP,PARTIAL_CRITERIA_V1,UNCHANGED_2IA_PARTIAL_OVERLAP,NGIQ-BR-00000212,0.33833598,PENDING_OWNER_REVIEW
NGIQ-BR-00000426,Area hPO1 (POS) left,left,CONFLICT_REVIEW,HIGH_FRAGMENTATION,TRUE_DIFFUSE_CONFLICT,NGIQ-BR-00000211,0.27805755,PENDING_OWNER_REVIEW
NGIQ-BR-00000427,Area hIP1 (IPS) right,right,CONFLICT_REVIEW,HIGH_FRAGMENTATION,TRUE_DIFFUSE_CONFLICT,NGIQ-BR-00000148,0.43161909,PENDING_OWNER_REVIEW
NGIQ-BR-00000428,Area hIP1 (IPS) left,left,CONFLICT_REVIEW,HIGH_FRAGMENTATION,PLAUSIBLE_MULTI_TARGET_PARTIAL,NGIQ-BR-00000145,0.33393167,PENDING_OWNER_REVIEW
NGIQ-BR-00000429,Area hIP7 (IPS) right,right,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,UNCHANGED_2IA_APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000214,0.50726092,PENDING_OWNER_REVIEW
NGIQ-BR-00000430,Area hIP7 (IPS) left,left,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,UNCHANGED_2IA_APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000213,0.57372273,PENDING_OWNER_REVIEW
