canonical_g4_id,canonical_g4_name,hemisphere,decision_2ia,reason_code_2ia,revised_owner_stratum,top_target_g3,hard_top1_coverage,review_status
NGIQ-BR-00000361,SF.AHi (Amygdala) right,right,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000216,0.60122441,PENDING_OWNER_REVIEW
NGIQ-BR-00000362,SF.APir (Amygdala) right,right,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000216,0.60122441,PENDING_OWNER_REVIEW
NGIQ-BR-00000363,SF.VCo (Amygdala) right,right,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000216,0.60122441,PENDING_OWNER_REVIEW
NGIQ-BR-00000364,SF.AHi (Amygdala) left,left,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000215,0.47511073,PENDING_OWNER_REVIEW
NGIQ-BR-00000365,SF.APir (Amygdala) left,left,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000215,0.47511073,PENDING_OWNER_REVIEW
NGIQ-BR-00000366,SF.VCo (Amygdala) left,left,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000215,0.47511073,PENDING_OWNER_REVIEW
NGIQ-BR-00000367,Astr (Amygdala) right,right,CONFLICT_REVIEW,HIGH_FRAGMENTATION,TRUE_DIFFUSE_CONFLICT,NGIQ-BR-00000218,0.41906006,PENDING_OWNER_REVIEW
NGIQ-BR-00000368,Astr (Amygdala) left,left,CONFLICT_REVIEW,PARTIAL_TARGET_EVIDENCE_INCONSISTENT,PARTIAL_EVIDENCE_INCONSISTENT_CONFLICT,NGIQ-BR-00000217,0.30739363,PENDING_OWNER_REVIEW
NGIQ-BR-00000369,VTM (Amygdala) right,right,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,UNCHANGED_2IA_APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000018,0.64652805,PENDING_OWNER_REVIEW
NGIQ-BR-00000370,VTM (Amygdala) left,left,APPROVE_CONTAINED_IN,CONTAINED_CRITERIA_V1,CONTAINED_BOUNDARY_REVIEW,NGIQ-BR-00000017,0.827706,PENDING_OWNER_REVIEW
NGIQ-BR-00000371,IF.ice (Amygdala) right,right,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000218,0.41601485,PENDING_OWNER_REVIEW
NGIQ-BR-00000372,IF.iol (Amygdala) right,right,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000218,0.41601485,PENDING_OWNER_REVIEW
NGIQ-BR-00000373,IF.ld (Amygdala) right,right,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000218,0.41601485,PENDING_OWNER_REVIEW
NGIQ-BR-00000374,IF.ice (Amygdala) left,left,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000217,0.33916912,PENDING_OWNER_REVIEW
NGIQ-BR-00000375,IF.iol (Amygdala) left,left,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000217,0.33916912,PENDING_OWNER_REVIEW
NGIQ-BR-00000376,IF.ld (Amygdala) left,left,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000217,0.33916912,PENDING_OWNER_REVIEW
NGIQ-BR-00000377,MF.icm (Amygdala) right,right,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000216,0.58120762,PENDING_OWNER_REVIEW
NGIQ-BR-00000378,MF.lm (Amygdala) right,right,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000216,0.58120762,PENDING_OWNER_REVIEW
NGIQ-BR-00000379,MF.icm (Amygdala) left,left,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000017,0.49931826,PENDING_OWNER_REVIEW
NGIQ-BR-00000380,MF.lm (Amygdala) left,left,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000017,0.49931826,PENDING_OWNER_REVIEW
