row_index,julich_asset_file,julich_component_id,julich_region_name,julich_hemisphere,canonical_g4_descendant_count,canonical_g4_ids,canonical_g4_entity_ids,spatial_identity_status
354,PO_THALAMUS_POSTERIOR_NUCLEUS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PO_THALAMUS_POSTERIOR_NUCLEUS,"Po (Thalamus, posterior Nucleus) right",right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PO_THALAMUS_POSTERIOR_NUCLEUS_RIGHT,NGIQ-BR-00000721,ONE_TO_ONE_CANONICAL
355,PUA_THALAMUS_ANTERIOR_PULVINAR_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUA_THALAMUS_ANTERIOR_PULVINAR,"PUa (Thalamus, anterior pulvinar) left",left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUA_THALAMUS_ANTERIOR_PULVINAR_LEFT,NGIQ-BR-00000736,ONE_TO_ONE_CANONICAL
356,PUA_THALAMUS_ANTERIOR_PULVINAR_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUA_THALAMUS_ANTERIOR_PULVINAR,"PUa (Thalamus, anterior pulvinar) right",right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUA_THALAMUS_ANTERIOR_PULVINAR_RIGHT,NGIQ-BR-00000735,ONE_TO_ONE_CANONICAL
357,PUI_THALAMUS_INFERIOR_PULVINAR_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUI_THALAMUS_INFERIOR_PULVINAR,"PUi (Thalamus, inferior pulvinar) left",left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUI_THALAMUS_INFERIOR_PULVINAR_LEFT,NGIQ-BR-00000734,ONE_TO_ONE_CANONICAL
358,PUI_THALAMUS_INFERIOR_PULVINAR_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUI_THALAMUS_INFERIOR_PULVINAR,"PUi (Thalamus, inferior pulvinar) right",right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUI_THALAMUS_INFERIOR_PULVINAR_RIGHT,NGIQ-BR-00000733,ONE_TO_ONE_CANONICAL
359,PUL_THALAMUS_LATERAL_PULVINAR_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUL_THALAMUS_LATERAL_PULVINAR,"PUl (Thalamus, lateral pulvinar) left",left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUL_THALAMUS_LATERAL_PULVINAR_LEFT,NGIQ-BR-00000726,ONE_TO_ONE_CANONICAL
360,PUL_THALAMUS_LATERAL_PULVINAR_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUL_THALAMUS_LATERAL_PULVINAR,"PUl (Thalamus, lateral pulvinar) right",right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUL_THALAMUS_LATERAL_PULVINAR_RIGHT,NGIQ-BR-00000725,ONE_TO_ONE_CANONICAL
361,PUM_THALAMUS_MEDIAL_PULVINAR_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUM_THALAMUS_MEDIAL_PULVINAR,"PUm (Thalamus, medial pulvinar) left",left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUM_THALAMUS_MEDIAL_PULVINAR_LEFT,NGIQ-BR-00000724,ONE_TO_ONE_CANONICAL
362,PUM_THALAMUS_MEDIAL_PULVINAR_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUM_THALAMUS_MEDIAL_PULVINAR,"PUm (Thalamus, medial pulvinar) right",right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUM_THALAMUS_MEDIAL_PULVINAR_RIGHT,NGIQ-BR-00000723,ONE_TO_ONE_CANONICAL
363,PV_THALAMUS_PARAVENTRICULAR_NUCLEUS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PV_THALAMUS_PARAVENTRICULAR_NUCLEUS,"Pv (Thalamus, paraventricular Nucleus) left",left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PV_THALAMUS_PARAVENTRICULAR_NUCLEUS_LEFT,NGIQ-BR-00000720,ONE_TO_ONE_CANONICAL
364,PV_THALAMUS_PARAVENTRICULAR_NUCLEUS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PV_THALAMUS_PARAVENTRICULAR_NUCLEUS,"Pv (Thalamus, paraventricular Nucleus) right",right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PV_THALAMUS_PARAVENTRICULAR_NUCLEUS_RIGHT,NGIQ-BR-00000719,ONE_TO_ONE_CANONICAL
365,RT_THALAMUS_RETICULAR_NUCLEUS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_RT_THALAMUS_RETICULAR_NUCLEUS,"Rt (Thalamus, reticular Nucleus) left",left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_RT_THALAMUS_RETICULAR_NUCLEUS_LEFT,NGIQ-BR-00000708,ONE_TO_ONE_CANONICAL
366,RT_THALAMUS_RETICULAR_NUCLEUS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_RT_THALAMUS_RETICULAR_NUCLEUS,"Rt (Thalamus, reticular Nucleus) right",right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_RT_THALAMUS_RETICULAR_NUCLEUS_RIGHT,NGIQ-BR-00000707,ONE_TO_ONE_CANONICAL
